Factor,Signed_Coefficient,Abs_Coefficient
Pct_SmallT,-11107.925877505413,11107.925877505413
Pct_LargeT,10304.491522279443,10304.491522279443
Pct_Buses,6492.481080904624,6492.481080904624
Pct_Autos,-4628.351822591017,4628.351822591017
Pct_Cash,3608.3655999815883,3608.3655999815883
